iter	Passed	Remaining
0	7	7511
1	14	7325
2	21	7141
3	27	6785
4	29	5932
5	36	6014
6	40	5781
7	43	5346
8	49	5442
9	55	5476
10	60	5480
11	66	5461
12	71	5460
13	78	5506
14	83	5496
15	87	5400
16	93	5420
17	98	5363
18	104	5412
19	110	5416
20	115	5380
21	120	5365
22	126	5390
23	132	5392
24	138	5389
25	141	5303
26	146	5289
27	150	5229
28	157	5262
29	162	5258
30	169	5288
31	175	5304
32	183	5376
33	190	5414
34	196	5422
35	202	5430
36	209	5446
37	211	5348
38	214	5289
39	218	5237
40	226	5293
41	229	5244
42	235	5244
43	240	5233
44	246	5228
45	252	5227
46	257	5221
47	263	5224
48	268	5219
49	275	5234
50	278	5178
51	284	5185
52	290	5190
53	296	5191
54	302	5192
55	307	5190
56	313	5179
57	318	5176
58	324	5170
59	327	5133
60	333	5132
61	339	5133
62	342	5093
63	348	5092
64	351	5052
65	357	5053
66	362	5051
67	368	5050
68	373	5037
69	379	5037
70	384	5028
71	390	5027
72	396	5033
73	401	5028
74	407	5024
75	413	5023
76	419	5034
77	423	5008
78	429	5008
79	434	5002
80	440	5000
81	446	4998
82	452	4994
83	457	4985
84	462	4979
85	468	4975
86	470	4942
87	475	4930
88	480	4921
89	485	4913
90	491	4909
91	497	4912
92	502	4905
93	509	4908
94	514	4900
95	520	4897
96	526	4897
97	530	4880
98	536	4880
99	542	4879
100	547	4874
101	553	4875
102	556	4843
103	562	4849
104	568	4846
105	574	4846
106	580	4840
107	585	4837
108	591	4834
109	596	4825
110	601	4819
111	604	4794
112	610	4791
113	615	4785
114	617	4755
115	624	4755
116	628	4744
117	634	4745
118	636	4715
119	643	4716
120	649	4718
121	655	4715
122	661	4715
123	663	4687
124	668	4681
125	674	4677
126	680	4676
127	685	4668
128	690	4661
129	696	4661
130	700	4644
131	705	4642
132	711	4637
133	717	4635
134	722	4628
135	728	4627
136	733	4622
137	739	4620
138	744	4612
139	750	4609
140	755	4605
141	762	4606
142	768	4605
143	774	4601
144	779	4594
145	785	4593
146	791	4592
147	797	4589
148	801	4579
149	807	4577
150	813	4574
151	819	4570
152	824	4565
153	829	4558
154	835	4553
155	841	4551
156	846	4547
157	852	4543
158	858	4539
159	863	4535
160	868	4528
161	874	4522
162	880	4518
163	886	4516
164	892	4514
165	897	4511
166	902	4503
167	908	4500
168	915	4500
169	921	4498
170	926	4493
171	932	4489
172	939	4488
173	943	4476
174	948	4471
175	953	4464
176	958	4458
177	964	4454
178	970	4450
179	975	4445
180	980	4436
181	986	4435
182	992	4429
183	997	4423
184	1003	4420
185	1009	4415
186	1014	4411
187	1020	4407
188	1025	4400
189	1031	4398
190	1037	4395
191	1044	4393
192	1049	4388
193	1054	4380
194	1059	4374
195	1065	4371
196	1071	4365
197	1076	4359
198	1081	4354
199	1087	4351
200	1093	4346
201	1099	4342
202	1104	4338
203	1110	4333
204	1115	4326
205	1121	4321
206	1126	4315
207	1132	4311
208	1138	4307
209	1143	4301
210	1149	4296
211	1155	4295
212	1161	4289
213	1167	4287
214	1173	4283
215	1178	4278
216	1184	4274
217	1190	4269
218	1196	4267
219	1202	4263
220	1208	4258
221	1214	4256
222	1220	4251
223	1225	4246
224	1230	4240
225	1236	4235
226	1242	4229
227	1248	4227
228	1254	4223
229	1261	4222
230	1267	4218
231	1273	4214
232	1278	4209
233	1285	4206
234	1290	4202
235	1297	4201
236	1303	4195
237	1309	4193
238	1315	4189
239	1321	4184
240	1327	4180
241	1333	4176
242	1338	4170
243	1344	4165
244	1350	4161
245	1356	4156
246	1362	4153
247	1370	4155
248	1377	4155
249	1390	4170
250	1397	4171
251	1404	4167
252	1410	4164
253	1416	4160
254	1421	4154
255	1428	4150
256	1434	4146
257	1440	4141
258	1445	4136
259	1452	4135
260	1458	4130
261	1464	4125
262	1470	4119
263	1476	4116
264	1483	4113
265	1489	4109
266	1496	4108
267	1503	4105
268	1508	4100
269	1515	4098
270	1522	4096
271	1529	4093
272	1535	4089
273	1542	4086
274	1549	4086
275	1557	4086
276	1565	4086
277	1573	4086
278	1580	4084
279	1587	4082
280	1594	4080
281	1600	4075
282	1607	4072
283	1614	4069
284	1619	4063
285	1631	4073
286	1653	4107
287	1666	4119
288	1672	4115
289	1679	4111
290	1685	4107
291	1693	4105
292	1700	4102
293	1705	4096
294	1712	4093
295	1719	4088
296	1724	4082
297	1730	4076
298	1736	4071
299	1742	4066
300	1748	4060
301	1755	4057
302	1761	4051
303	1767	4046
304	1774	4042
305	1779	4035
306	1786	4032
307	1792	4028
308	1798	4021
309	1805	4018
310	1810	4011
311	1816	4004
312	1823	4001
313	1829	3997
314	1836	3992
315	1842	3988
316	1848	3983
317	1855	3978
318	1860	3972
319	1866	3965
320	1872	3961
321	1878	3955
322	1884	3949
323	1891	3945
324	1897	3941
325	1903	3935
326	1908	3928
327	1915	3923
328	1921	3918
329	1926	3911
330	1932	3905
331	1939	3902
332	1945	3896
333	1951	3890
334	1957	3885
335	1964	3881
336	1970	3876
337	1976	3871
338	1983	3866
339	1988	3860
340	1995	3857
341	2000	3849
342	2007	3844
343	2013	3840
344	2019	3834
345	2026	3830
346	2032	3825
347	2039	3820
348	2045	3814
349	2050	3808
350	2056	3802
351	2062	3796
352	2068	3790
353	2073	3784
354	2079	3777
355	2084	3771
356	2090	3765
357	2096	3759
358	2102	3753
359	2108	3748
360	2113	3741
361	2119	3735
362	2125	3729
363	2131	3723
364	2137	3718
365	2143	3712
366	2148	3705
367	2154	3699
368	2160	3694
369	2165	3687
370	2171	3682
371	2177	3675
372	2183	3669
373	2188	3663
374	2194	3657
375	2199	3650
376	2204	3642
377	2210	3636
378	2215	3629
379	2221	3624
380	2227	3618
381	2233	3613
382	2239	3607
383	2244	3600
384	2250	3594
385	2255	3588
386	2261	3582
387	2268	3578
388	2274	3572
389	2280	3566
390	2285	3559
391	2291	3554
392	2297	3548
393	2300	3538
394	2306	3532
395	2312	3527
396	2318	3521
397	2324	3515
398	2330	3510
399	2335	3503
400	2341	3497
401	2346	3491
402	2352	3485
403	2358	3479
404	2364	3473
405	2368	3465
406	2374	3459
407	2380	3453
408	2385	3447
409	2391	3441
410	2396	3434
411	2401	3428
412	2407	3421
413	2412	3414
414	2418	3409
415	2424	3403
416	2430	3398
417	2435	3391
418	2441	3385
419	2448	3381
420	2456	3377
421	2462	3373
422	2469	3368
423	2475	3362
424	2481	3357
425	2487	3352
426	2493	3346
427	2499	3339
428	2504	3333
429	2510	3327
430	2517	3323
431	2523	3317
432	2529	3312
433	2535	3306
434	2541	3300
435	2547	3294
436	2552	3288
437	2558	3282
438	2565	3278
439	2571	3273
440	2577	3266
441	2581	3259
442	2587	3253
443	2592	3246
444	2598	3240
445	2603	3234
446	2610	3228
447	2615	3222
448	2621	3217
449	2628	3212
450	2634	3206
451	2639	3200
452	2645	3194
453	2651	3188
454	2657	3182
455	2662	3176
456	2668	3170
457	2673	3163
458	2678	3157
459	2684	3150
460	2688	3143
461	2694	3137
462	2699	3131
463	2705	3125
464	2711	3119
465	2717	3113
466	2722	3107
467	2727	3101
468	2733	3094
469	2739	3089
470	2744	3082
471	2750	3076
472	2756	3071
473	2761	3064
474	2766	3057
475	2771	3051
476	2777	3045
477	2782	3038
478	2787	3032
479	2793	3026
480	2798	3020
481	2804	3014
482	2810	3008
483	2817	3003
484	2822	2997
485	2828	2991
486	2834	2986
487	2840	2980
488	2843	2971
489	2849	2965
490	2854	2959
491	2860	2954
492	2866	2948
493	2872	2941
494	2877	2935
495	2883	2929
496	2886	2921
497	2892	2915
498	2897	2909
499	2903	2903
500	2909	2897
501	2914	2891
502	2920	2885
503	2926	2879
504	2932	2874
505	2937	2867
506	2943	2861
507	2948	2855
